,date,open,high,low,close,volume,trade_count,vwap,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2023-06-26 09:30:00,186.8,187.4481,186.34,187.4,2934861,35915,186.933948,AAPL,0,0.19993723154769327,187.62124277469064,186.25966722530933,57.93702092251419,62.04918766243466,7.300681485808214,186.66063666666665,186.19270999999998,26.15,98.65831272024472
0,2023-06-26 09:30:00,129.3,130.575,129.14,130.17,4696865,40950,129.954353,AMZN,0,0.0718694436805265,130.8460836524045,129.0954263475955,56.914625786941365,14.88230146085169,0.41074722980057865,129.90001666666666,128.99406166666668,26.15,98.65831272024472
0,2023-06-26 09:30:00,27.8,28.19,27.79,28.145,2956066,9726,28.009184,BAC,0,-0.03622852580308589,27.972047699502735,27.590882300497274,53.76514646318774,287.57436847753166,35.63391837240217,27.80405,28.06477,26.15,98.65831272024472
0,2023-06-26 09:30:00,235.46,238.15,235.355,238.13,109560,1897,236.39031,CAT,0,-0.23107734499740218,236.56048078527678,232.81263921472313,54.35710174532075,201.44628727473795,32.612091872481756,234.81387333333336,236.884915,26.15,98.65831272024472
0,2023-06-26 09:30:00,40.27,40.34,40.17,40.24,452308,3246,40.279653,CMCSA,0,-0.08119005751100872,40.48648630955551,40.00461369044448,45.32015898128934,-34.13715365006899,21.42664263266164,40.30653333333334,40.41498833333333,26.15,98.65831272024472
0,2023-06-26 09:30:00,524.13,524.57,522.02,523.66,89047,1975,523.44966,COST,0,0.40113530993789936,524.4543254713701,521.83598452863,53.80580506553121,56.009628156341314,29.98307262780778,522.6672266666667,522.3043716666666,26.15,98.65831272024472
0,2023-06-26 09:30:00,88.04,88.4,87.77,88.375,798312,9278,88.080598,DIS,0,-0.04465393736491308,88.3847385438325,87.8037314561675,48.85668782462316,31.386989107718477,25.427368174815086,88.12846333333333,88.366865,26.15,98.65831272024472
0,2023-06-26 09:30:00,120.76,121.5,120.4473,121.17,2579611,26982,120.956281,GOOGL,0,0.04684679536821079,123.13468262803582,121.4020773719642,43.63034454392612,-176.00286075395454,43.0563450902304,122.18308666666667,121.740055,26.15,98.65831272024472
0,2023-06-26 09:30:00,302.67,303.72,301.98,303.66,163750,2978,302.742288,HD,0,0.07475768140125183,302.7437198738556,299.43404012614445,58.831767575314295,291.23533596718903,37.309681925626435,301.0341466666667,301.16523333333333,26.15,98.65831272024472
0,2023-06-26 09:30:00,138.87,140.01,138.85,139.795,440499,6238,139.447414,JPM,0,-0.11861415430587385,139.40646760184373,138.39717239815624,49.80135917912909,220.3977087243392,20.037099545421068,138.88554666666667,139.93177166666663,26.15,98.65831272024472
